"","site","ID","Aluminum.Tag","Code","Sex","leafN_t0","tillerN_t0","bottomLeafN_t0","Block","tillerN_t1","flowerN_t1","Phenology_t1","flowerLength1_t1","flowerLength2_t1","flowerLength3_t1","Tillering_t1","Moisture.Standard_t1","Moisture.High.Clay_t1","Max.Height_t1","Comments_t1","year","flowerN_t0","Phenology_t0","flowerLength1_t0","flowerLength2_t0","flowerLength3_t0","Tillering_t0","Moisture.Standard_t0","Moisture.High.Clay_t0","Max.Height_t0","Comments_t0","MaxWidth_t1","MaxLength_t1","MaxWidth_t0","MaxLength_t0","sum_widths","clone_area_t0","clone_area_t1","Longitude","Latitude","long.scaled","long.center","unique.block","flow_t1","pc_fn","surv_t1","delta.tiller","log_ratio","ploidy","symb","col"
"2050","ozona",375,24,"SLR","M",NA,6,NA,4,2,0,"",NA,NA,NA,NA,NA,NA,NA,"(line)",2016,2,NA,8.6,8.3,NA,0,0,5,NA,"",19,0,NA,NA,NA,NA,1,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.4",0,0,1,-4,-1.09861228866811,"low",24,"red"
"2051","ozona",81,59,"LLELA","M",NA,7,NA,10,25,4,"4",17.2,10.5,9.8,NA,NA,NA,NA,"",2016,1,NA,10.8,NA,NA,NA,1.5,3.5,NA,"",37,7,NA,NA,NA,NA,813.672497279756,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.10",1,0.16,1,18,1.27296567581289,"high",24,"red"
"2052","ozona",211,21,"QLP","M",NA,6,NA,4,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"",2017,0,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,0,0,1,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.4",NA,NA,0,-6,NA,"low",24,"red"
"2053","ozona",319,47,"SLR","M",NA,25,NA,8,70,29,"open",11.3,13.6,10.2,NA,NA,NA,NA,"",2017,2,"3",12.4,10.3,NA,NA,NA,NA,NA,"",99,89,40,26,66,3267.25635973338,27680.5728707797,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.8",1,0.414285714285714,1,45,1.02961941718116,"low",24,"red"
"2054","ozona",355,70,"SSC","M",5,2,0,12,3,1,NA,13,NA,NA,0,0,2.1,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.12",1,0.333333333333333,1,1,0.405465108108164,"low",24,"red"
"2055","ozona",374,42,"SLR","M",NA,3,NA,7,1,6,"",NA,NA,NA,NA,NA,NA,NA,"",2016,0,NA,NA,NA,NA,0,0,1.9,"20.3","",NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.7",1,6,1,-2,-1.09861228866811,"low",24,"red"
"2056","ozona",3,19,"QLP","F",NA,10,NA,4,24,2,"3",11,8.5,0,NA,NA,NA,NA,"",2016,1,NA,6.9,NA,NA,1,3.7,5.4,NA,"",38,22,NA,NA,NA,NA,2626.37145840107,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.4",1,0.0833333333333333,1,14,0.8754687373539,"low",21,"blue"
"2057","ozona",15,63,"HHC","M",4,1,13,11,5,1,NA,NA,NA,NA,1,0,2.9,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.11",1,0.2,1,4,1.6094379124341,"high",24,"red"
"2058","ozona",15,63,"HHC","M",NA,5,NA,11,17,0,"",NA,NA,NA,NA,NA,NA,NA,"",2016,1,NA,NA,NA,NA,1,0,2.9,NA,"",28,20,NA,NA,NA,NA,1759.29188601028,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.11",0,0,1,12,1.22377543162212,"high",24,"red"
"2059","ozona",363,54,"LAR","M",NA,27,NA,9,76,24,"open",9.4,15.4,12.7,NA,NA,NA,NA,"",2017,5,"2",13.3,12.2,12.4,NA,NA,NA,NA,"",141,93,92,61,153,17630.6179719459,41195.704466523,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.9",1,0.315789473684211,1,49,1.034896474282,"low",24,"red"
