id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
17022945,UARK,,,PreservedSpecimen,,UARK070842,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"D. M. Moore",,510246,1951-05-24,1951,5,24,144,,1951-5-24,,"Escaped - edge of campus.",,,,,,,,,,,,,,,"United States",Arkansas,Washington,,"Fayetteville; Wash. County.",,,,,,,,,,,,,,,,,,,,,en,alexanderworm,"2018-02-03 00:00:00",,255,urn:uuid:3bb12787-c8d5-4def-b98f-fd5e8c5f97de,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17022945
17102193,ILL,,,PreservedSpecimen,11b48fc9-62b2-4862-9b8e-29f30c10e9ad,ILL00144096,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"J. & C. Taylor",,13022,1973-05-11,1973,5,11,131,,11-May-73,,,,,,,,,,,,,,,,,"United States",Oklahoma,Caddo,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:11b48fc9-62b2-4862-9b8e-29f30c10e9ad,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102193
17102194,ILL,,,PreservedSpecimen,4e1c29d9-3d63-47aa-a0ca-db4d248da633,ILL00144097,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,R.L.Cliflou,,3149,2014-05-20,2014,5,20,140,,20-May-14,,,,,,,,,,,,,,,,,"United States",Oklahoma,Ellis,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:4e1c29d9-3d63-47aa-a0ca-db4d248da633,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102194
17102195,ILL,,,PreservedSpecimen,d8905fa5-7fd0-4d76-a11f-d68bc8a627e3,ILL00144098,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,R.A.Johnston,,52,1972-03-26,1972,3,26,86,,26-Mar-72,,,,,,,,,,,,,,,,,"United States",Oklahoma,Murray,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:d8905fa5-7fd0-4d76-a11f-d68bc8a627e3,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102195
17102196,ILL,,,PreservedSpecimen,7c50f547-72bc-4698-9d8b-d81c8a1b61b2,ILL00144099,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,M.A.Carleton,,s.n.,1891-05-00,1891,5,0,,,"May, 1891",,,,,,,,,,,,,,,,,"United States",Oklahoma,Seminole,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:7c50f547-72bc-4698-9d8b-d81c8a1b61b2,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102196
17102197,ILL,,,PreservedSpecimen,34441970-a918-4ee0-a519-4e2265cc0f28,ILL00144100,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"M.Huft, J.Estes",,1275,1980-05-31,1980,5,31,152,,31-May-80,,,,,,,,,,,,,,,,,"United States",Oklahoma,Woods,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:34441970-a918-4ee0-a519-4e2265cc0f28,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102197
17102198,ILL,,,PreservedSpecimen,e2c78c2d-cbbb-4a18-8766-0f21fa53ef5c,ILL00144101,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,G.W.Stevens,,3078,2014-05-27,2014,5,27,147,,27-May-14,,,,,,,,,,,,,,,,,"United States",Oklahoma,Woods,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:e2c78c2d-cbbb-4a18-8766-0f21fa53ef5c,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102198
17102199,ILL,,,PreservedSpecimen,f8ea9638-2ad3-490a-b378-44f9f564418f,ILL00144102,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,G.W.Stevens,,3077,2014-05-27,2014,5,27,147,,27-May-14,,,,,,,,,,,,,,,,,"United States",Oklahoma,Woods,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:f8ea9638-2ad3-490a-b378-44f9f564418f,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102199
17102200,ILL,,,PreservedSpecimen,c8505cfe-9229-4c23-b84f-5ea2cb5b6d6f,ILL00144103,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,G.W.Stevens,,3063,2014-05-15,2014,5,15,135,,15-May-14,,,,,,,,,,,,,,,,,"United States",Oklahoma,Woods,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:c8505cfe-9229-4c23-b84f-5ea2cb5b6d6f,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102200
17102201,ILL,,,PreservedSpecimen,bf780fdd-4efd-49fa-86ca-6eca6c5295a2,ILL00144104,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,G.W.Stevens,,3061,2014-05-15,2014,5,15,135,,15-May-14,,,,,,,,,,,,,,,,,"United States",Oklahoma,Woods,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:bf780fdd-4efd-49fa-86ca-6eca6c5295a2,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102201
17102202,ILL,,,PreservedSpecimen,37a446f0-1777-406e-b14a-22fe68461e5b,ILL00144105,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,G.W.Stevens,,581,2013-05-23,2013,5,23,143,,23-May-13,,,,,,,,,,,,,,,,,"United States",Oklahoma,Woods,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:37a446f0-1777-406e-b14a-22fe68461e5b,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102202
17102203,ILL,,,PreservedSpecimen,cae030b2-8433-4807-afc9-61af40f6bc4e,ILL00144106,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,H.Wangler,,s.n.,1891-00-00,1891,0,0,,,1891,,,,,,,,,,,,,,,,,"United States",Texas,Austin,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:cae030b2-8433-4807-afc9-61af40f6bc4e,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102203
17102204,ILL,,,PreservedSpecimen,edd3c424-dd91-4f81-a9f4-0be28f1b7278,ILL00144107,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,J.D.Taylor,,10072,1972-04-20,1972,4,20,111,,20-Apr-72,,,,,,,,,,,,,,,,,"United States",Texas,Baylor,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:edd3c424-dd91-4f81-a9f4-0be28f1b7278,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102204
17102205,ILL,,,PreservedSpecimen,833d3be3-4965-4d08-bc91-872980c7bb4c,ILL00144108,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"F.W.Could; R.F.Celerier",,5450,1950-04-13,1950,4,13,103,,13-Apr-50,,,,,,,,,,,,,,,,,"United States",Texas,Burleson,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-22 10:13:15",,244,urn:uuid:833d3be3-4965-4d08-bc91-872980c7bb4c,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17102205
